,review,sentiment
40430,"Frank Sinatra took this role, chewed it up with the rest of the scenery and - spat it out HIS way. TMWTGA is stagey, the ending is trite, some of the scenes need a little more cutting, but that's all. It's great entertainment from start to finish, and while you watch it you realise that Sinatra, that long-dead MOR crooner, had junkies, gangster card games and the whole US urban hustle thing in his blood - he didn't learn it from an acting coach. There are all sorts of directorial touches to keep you amused, and the (non-dated) soundtrack cooks all the way. The marathon card game beat Goodfellas, Sopranos, etc. by forty years! So it wasn't faithful to the book? What movie is? And I can't imagine it being remembered if Brando had been let loose on it; the cold turkey scenes would have been embarrassing, instead of edgy, convincing and moving with Sinatra. No-one else has mentioned the seedy, lazy, cynical cops - absolutely spot on! And Eleanor Parker would have driven *me* to smack.",positive
2858,"This film has little to recommend it, though that little being the breathtaking scenery, cinematography and direction of wildlife, it is difficult to bring up its weak points in the company of such rave reviews. It is precisely these things, however, that make the lack of a satisfactory plot and its execution so disappointing. <br /><br />I watched this with my children and none of us was too impressed by the end. Yes, the pictures were great, the broad landscapes across the forest and mountains magnificent, but what was going on in the foreground? The rather dull narration of the stupidity of an insipid girl who learns all too slowly a very basic lesson about befriending wildlife - and gets off quite easily given the track record of that sort of thing. It is certainly not a new story, in fact there is nothing remotely novel about the way it is told, and we have all seen this before, and, indeed, much more eloquently by Antoine de Saint-Exupéry.<br /><br />The only thing really to be gleaned from this film is a sense of how to work with these wonderful lenses and forest lighting; the rest is a waste of time.",negative
17072,"Rudy does it again with this hot off the streets follow up to Dolemite. This entry is filled with the requisite Rudy Ray Moore raunch, humor and martial arts. Rudy eludes a crazy red-neck sheriff in this movie that also features an infamous scene where Rudy dives down a steep hill. See it for laughs and for a brain-blasting hit of Blaxploitation magic.",positive
38660,"Beautiful....that one word pretty much sums up this whole film. Everything from the cinematography, the directing, the acting.....brilliant. At any point of the film, you can pause it, and you will no doubt be looking at something mosaic or ""artsy fartsy"" as some people would say. I assure you, that after one viewing, ""Bobbycrush"" will be stuck in your head. I know this from first hand experience. Even the soundtrack is great. It goes together very well with the tone and pace of the film. Be thankful that Cam Archer exists in this world. We need more people like him to make films that show love and shame in totally real (and surreal) imagery.",positive
2820,"Central Airport is the story of a pilot named Jim (Richard Barthelmess) who has one bad flight in over 4000 hours and is forced to give up commercial flying. He meets a beautiful girl named Jill (Sally Eilers) and the two start up an act involving flying and stunts. The two start a relationship, but when Jim is hurt, his brother (Tom Brown) takes over the act for a while and falls for his brother's girlfriend. From there, things get exciting and terribly terribly sad.<br /><br />This film is a pre-code because of several reasons. First, Jim and Jill have consummated their relationship without being married and with no intention of having a wedding. Second, Eilers is shown in her underwear, and absolutely restricted scene when the Production Code came into effect.<br /><br />This film does not skimp on the dramatic love triangle and in consequence ends bittersweetly.",positive
40210,"Anyone with a young boy in the house who won't watch black & white movies should put this on their television set. When the child walks by, wondering what all the on screen shouting and shooting's about, tell him this is a picture for adults and that he isn't big enough to watch it yet. That'll hold him there for a few minutes; director George Stevens and his team will keep him to the end.<br /><br />I think my father did that to me, anyway, and I'm the better man for it. This classic adventure yarn, set in India during the British occupation, features a trio of Army sergeants who find their tight union facing dissolution as one prepares to marry his sweetheart. Help arrives in the form of a vicious Thuggie revolt that the soldiers find themselves united against.<br /><br />""Gunga Din"" was one of the great movies to come out of Hollywood's finest year, 1939. Even more than most great movies from that Golden year, it is entertaining in a very immediate and accessible way. The theme music is instant hummable nirvana. While shot in California, the camera work (the only thing in ""Gunga Din"" that got so much as an Oscar nomination) has a windblown grandeur that feels very much like the Raj of a hundred years before. The battle scenes are shot in a very realistic manner, not too violent but very messy as people fall and shoot and run in all corners of each frame in a way that feels real, not staged like some Cecil B. DeMille Biblical slaughter fest.<br /><br />The script doesn't just set up action scenes, it also develops the relationship of the three sergeants with great dollops of humor. The main focus is on Sgt. Cutter, chasing after tall tales of golden treasures. It's a rare actioner for Cary Grant, and his lightness is just right for a film that never takes itself seriously even as it develops taut suspense.<br /><br />Anchoring the trio is Sgt. MacChesney (Victor McLaglen), who dotes over his elephant Annie and tries to protect Cutter from his own hare-brained schemes. He's just as funny in his own way, leaving Sgt. Ballantine (Douglas Fairbanks Jr., displaying some nice Errol Flynnish dash) as the one with the love interest and grounding enough to know he needs to chuck his boyish pals and grow up.<br /><br />If ""Gunga Din"" was a Lifetime movie, it would be about Joan Fontaine's efforts to save her man from his two loser friends and their skull crushing hijinks. But since it's a guys' film, the accent here is on how the threesome must stay together and save Ballantine from a fate worse than death, not only marriage, but as Cutter indignantly exclaims several times, the tea business, too.<br /><br />The political correctness police are hard on this film, not so much for the gender issue but the idea of British soldiers saving poor Indians from the vicious Thuggies. It reeks of colonial apologia. Thankfully, this film was made back when, and the producers thus felt no need to spell out the obvious liberalism at the heart of the film, that these three sergeants, so full of derring-do and false racial pride, have to be saved along with the rest of their army by a humble bhisti that only one of the three had any time for when he sought their approval. After all, for all their swashbuckling glory, the film's true sacrifice involves the title character, played so heart-wrenchingly by Sam Jaffe.<br /><br />Back when this film was made, movie mogul Jack Warner had a saying: You want to send a message, use Western Union. Still, it seems like the messages were flying fast and furious in ""Gunga Din."" I watch the film now and wonder if audiences back then were meant to wonder what Gunga Din was really up to when he led Cutter to the golden temple. Was he really plotting revenge against his British overlords? Would he have been justified in doing so, especially given MacChesney's cold treatment of him? When Col. Weed delivers that eulogy, the poem by Rudyard Kipling on which the film is loosely based, was it with a nod in the direction of imperialism's folly, of lording it over someone who proved ""a better man than I am"" in the end? What did they make of the Guru's great speech, delivered in perfect clipped English: ""You have sworn an oath as soldiers to maybe die for a faith, which is your country, England. Well, I can die for my country and my faith as readily as you...India, farewell.""<br /><br />Of course, the same character also instructs his brutal followers: ""Kill for the love of killing! Kill for the love of Kali! Kill! Kill! Kill!"" Which means we are allowed to hate him and root for the British, and save the questions about what it all means for later.<br /><br />What ""Gunga Din"" means to me, most of all, is the quickest, surest 90-minute thrill ride on video. Cutter never found his golden temple, but there's one for all of us watching ""Gunga Din.""",positive
46340,"Two Soldiers is an excellent example of fine film-making. The director and producer took a heart-warming story and brought it to life with a very skilled and dedicated cast, excellent cinematography, and very creative artistry.<br /><br />The relaxed back-woods lifestyle of the brothers was depicted with great details, and contrasted sharply with the militaristic lifestyle that they were thrust into. The interaction between the brothers brought laughter and tears, as they struggled with a hard but peaceful life in the back-woods of North Carolina and an even harder life of war.<br /><br />The acting was great, particularly from the younger brother who is new to the big screen (played by Jonathan Furr), to the older brother (played by Ben Allison) and the powerful perfomrance by the Colonel (played by Ron Perlman). The performance was extremely well cast.<br /><br />It was a pleasure to enjoy the magic of Two Soldiers, and I heartily recommend it to audiences of all ages.",positive
23751,"When teenagers go on a trip in a camper van there are many clichés that you can guarantee will follow.<br /><br />1)The teenagers will be warned not to go where they are going by a crazy local. Dan Van Husen handles that with ridiculous exposition about deadly Sirens. What, who, how and why are handled in one almost unintelligible burst. 2)The van will break down. 3)Whilst looking for help the group will be split up and be picked off one by one by whatever monster they have been warned about.4)They will find a house inhabited by a madman, he will capture them. 5) The house will have a phone but it will not work, it will be disturbingly decorated, there will be flickering neon light, spiders and maggots. 6)The madman will catch them as they try to escape in a vehicle that won't start (here the high speed getaway was to be made on a tractor). 7)The madman will be seemingly killed only to come back from the dead for a cheap, weak scare and will then be killed properly. 8)Only a girl will be left alive from the group. 9)There will be an unnecessary twist at the end. <br /><br />Add to these elements naked Sirens (who the characters seem to react to in startling different ways despite the fact that everyone that sees them is supposed to fall into lust with them immediately) that seduce and kill the teens, throats being ripped out and bodies being pulled in half and you have something resembling a twelve year old boys dream movie.<br /><br />I think it is only fair to say that my opinion of the director and his previous work is as low as it is possible to be but I am happy to point out that there are a few elements that boarder on pleasurable and are a great improvement on his previous film, Darkhunters, which is one of the worst films I have ever seen. At times the cinematography is very good, the music and editing are a cut above his previous films and some other low budget horror movies. I was impressed to hear that it was achieved with a third of the money spent on the previous monstrosity. However, the worst things about this movie are not to be found in the body of the film, it is ultimately a mildly diverting if pointless movie that has been done time and time again, but amongst the DVD extras.<br /><br />If you do rent this film I implore you to listen to the director's commentary it is beyond belief. There is more to say about this than the film itself. One staggering part of the commentary is the director's claim that the film is cliché leaden because it was a preconceived idea. He says it is a deliberate attempt to use all of the clichés and openly he wonders if ""people will get it"". <br /><br />I'm afraid to say that if this is supposed to be a clever nod and a wink to films of the past and the genre clichés within them then it is not wittily scripted enough, acted in an appropriate tone nor directed with enough style to work. If this film was made to order it leads me to ask one question; ""What was the point?"" This is s afilm that just slips right into the canon of bad horror movies, any attempt to do something clever or different haven't worked.<br /><br />The next nugget of brilliance is a conversation about the snobbery towards digital film formats. They rightly point out that digital is often synonymous with cheapness and ease of use. However, the best moment of the conversation comes when they bemoan the fact that when Michael Mann makes a film in the format he is branded as a visionary. There is a simple distinction to be made here; Mann is a talented director who will use the format to fit his story and style, Roberts is a horror hack who uses it to produce bottom shelf genre pictures . I think the differences are obvious and the comparison is not only arrogant but redundant.<br /><br />The best moment is reserved for Robert's comments about people who have taken the time to review his previous film. Those who didn't like it are generalised as 'geeks' and he even goes as far as to single out specific people for having the nerve to voice their opinion in forums that encourage them to do just that. I must admit I was slightly disappointed that my review of his last film wasn't singled out for ridicule. The tirade goes further as the group joke about Norwegian reviewers, complete with 'hilarious' accents to imply that people from Norway wouldn't know a good film simply because of where they are born. As always these sorts of comments say more about those saying them than those they are targeting, they simply make the director and his friends look ignorant.<br /><br />The package in rounded out with a tasteful featurette about how the Sirens were cast. Robert's swears blind in voice over, 'I didn't want to make a film that was like Baywatch' as we see audition tapes of topless and naked girls writhing around on the ground. There is also a simpering, self-indulgent documentary about the making of Darkhunters during which Robert's says that a reviewer has claimed that Forest is ""The best British film in years"". I don't know who he is trying to convince. At one point in the commentary track Robert's says jokingly ""I can see people sitting at home saying ""this isn't amazing, its sh$t"" he isn't wrong.",negative
28044,"One two three four five six seven eight and back, haha. This is a must see, first of all to see the work out. There are a lot of work out shown, see those close ups, man you will enjoy it. A few years ago a video clip was surely based on this movie. It's a slasher but without suspense. The ending is funny too, and the clothes she's wearing in the wood confronting the copper, Jesus, looks like a clown. The killings are mostly done off screen, the blood flows but never too gory. There are a lot of fight scene's too, and hey, no one got hurt. And what about the weapon to kill, never seen a big one like that, won't spoil it, you must see it. And being a slasher there's a lot of T&A too. To guess who's the killer you will be trapped a few times and that's the best part, but what about the story of the copper in the woods, huh! But still due his cheesiness this one is still one that many would like to have. I'm glad that I have my copy, one of those slasher failures. But man, those clothes and not to mention the hairstyles! If you are in your 40's then this is one is back to memory lane.",negative
39525,"Two women, sick of their controlling husbands, taking a vacation in Italy for a month with two other very different women.They come back refreshed and energized in this wonderful little film by Merchant - Ivory.<br /><br />Great scenery and the location isn't bad either. Seriously, a very good period piece 7 of 10",positive
36697,"I have to say, its not very good. Polly Bergen is fine in this film.The rest are so so. I'm gay and honestly , there are so many cliché's for this time in history that its just sad. We started watching it then turned it off, then decided it would be fun to make fun of the rest of the film. But all said, the basic idea of the film is good. If it was re-written with less contrived lines and better acting it could have actually been prety good. Over all i would not recommend it. IN additon the this is coo coo thinking line is so lame. On top of that the fight in the hair salon is funny because its so bad. The lesbian sister in the room with them while they are trying to get it on is so weird its sad.",negative
13150,"I got hold of a discount copy of this. I had seen it several years ago. My only recent experience had been ""Mystery Science Theatre"" where it was soundly spoofed. One never really gets a chance to get into these movies because of all the byplay. I love the beginnings of fifties horror movies. They give us a pompous lecture on the defense systems near the Arctic. These were there to protect us from the expected Soviet invasion, but they should come in handy, given the threat of very large insects. <br /><br />This particular one flies. For some reason, despite its exoskeleton made of the stuff grasshoppers are made of, they can still fend off air to air missiles and disable fighter planes. <br /><br />Anyway, it's more fun--first, the obligatory deranged case who saw the flying thing, cooling his heels in a hospital (it just teaches one--see an insect as big as a house--keep your mouth shut). I wonder if the poor guy got to go home after they found the bug.<br /><br />Otherwise, this is a pretty ordinary effort. It follows the usual efforts to come up with a way of dissuading the stubborn bug--and leaves us open to other possibilities--the Russians next time. I still get a kick out of these films and this one is serviceable.",negative
854,"Thank God I watched this at a friend's place and did not pay for it. The plot is horribly transparent and the whole movie felt like an episode of a TV show. If you have any knowledge of computers or electronics, watch out. You will feel feel like the movie is an insult to your intelligence. <br /><br />Also, actress turned Much Music VJ Amanda Walsh displays the worst acting I have ever seen, excluding porn. She's lucky that Matt Lanter is actually decent. He's the one that carries the movie. <br /><br />I hate that I wasted nearly two hours of my life watching this movie! It's a shame that they got to call it a sequel, because I was a fan of the original, which was actually pretty good.",negative
13270,"Anyone who knows me even remotely can tell you that I love bad movies almost as much as I love great ones, and I can honestly say that I have finally seen one of the all-time legendary bad movies: the almost indescribable mess that is MYRA BRECKINRIDGE. An adaptation of Gore Vidal's best-selling book (he later disowned this film version), the star-studded MYRA BRECKINRIDGE is truly a movie so bad that it remains bizarrely entertaining from beginning to end. The X-rated movie about sex change operations and Hollywood was an absolute catastrophe at the box office and was literally booed off the screen by both critics and audiences at the time of it's release. Not surprisingly, the film went on to gain a near-legendary cult status among lovers of bad cinema, and I was actually quite excited to finally see for the first time.<br /><br />Director Michael Sarne (who only had two other previous directing credits to his name at the time), took a lot of flack for the finished film, and, in honesty, it really does not look like he had a clue about what he was trying to achieve. The film is often incoherent, with entire sequences edited together in such a half-hazzard manner that many scenes become nearly incomprehensible. Also irritating is the gimmick of using archival footage from the Fox film vaults and splicing it into the picture at regular intervals. This means that there is archival footage of past film stars such as Judy Garland and Shirley Temple laced into newly-film scenes of often lewd sexual acts, and the process just doesn't work as intended (this also caused a minor uproar, as actors such as Temple and Loretta Young sued the studio for using their image without permission).<br /><br />Perhaps Sarne is not the only one to blame, however, as the film's screenplay and casting will also make many viewers shake their heads in disbelief. For instance, this film will ask you to believe that the scrawny film critic Rex Reed (in his first and last major film role) could have a sex change operation and emerge as the gorgeous sex goddess Raquel Welch?! The film becomes further hard to follow when Welch as Myra attempts to take over a film school from her sleazy uncle (played by legendary film director John Huston), seduce a nubile female film student (Farrah Fawcett), and teach the school's resident bad boy (Roger Herren) a lesson by raping him with a strap-on dildo. Did everyone follow that? <br /><br />And it gets even better (or worse, depending upon your perspective)! I have yet to mention the film's top-billed star: the legendary screen sex symbol of the nineteen-thirties, Mae West! Ms. West was 77 year old when she appeared in this film (she had been retired for 26 years), and apparently she still considered herself to be a formidable sex symbol as she plays an upscale talent agent who has hunky men (including a young Tom Selleck) throwing themselves at her. As if this weren't bad enough, the tone-deaf West actually performs two newly-written songs about halfway through the film, and I think that I might have endured permanent brain damage from listening to them! <br /><br />Naturally, none of this even closely resembles anything that any person of reasonable taste would describe as ""good,"" but I would give MYRA BRECKINRIDGE a 4 out of 10 because it was always morbidly entertaining even when I had no idea what in the hell was supposed to be going on. Also, most of the cast tries really hard. Raquel, in particular, appears so hell-bent in turning her poorly-written part into something meaningful that she single-handedly succeeds in making the movie worth watching. If she had only been working with a decent screenplay and capable director then she might have finally received some respect form critics.<br /><br />The rest of the cast is also fine. The endearingly over-the-top John Huston (who really should have been directing the picture) has some funny moments, Rex Reed isn't bad for a non-actor, and Farrah Fawcett is pleasantly fresh-faced and likable. Roger Herren is also fine, but he never appeared in another movie again after this (I guess he just couldn't live down being the guy who was rapped by Raquel Welch). And as anyone could guess from the description above, Mae West was totally out of her mind when she agreed to do this movie - but that's part of what makes it fun for those of us who love bad cinema.",negative
47433,I was watching an NFL game and started surfing during a break and found this on one of the HBO type channels. I missed the beginning but when I started watching Deadly Voyage the clicker was put down and not even thought of until the credits rolled. You will find yourself rooting against the villans and on the edge of your La-Z-Boy throughout this one. If you get the chance take the time to watch it. Every once in a while I think about having the cable company take off my Movie channels but when you stumble across great ones like this you know why it is worth paying extra for them. Happy Holidays to all from Cape Cod !!!,positive
32128,"I've just purchased the restored version of a film that I remember with much affection from childhood and it's certainly made for a curious afternoon's entertainment. Bedknobs definitely makes more sense in its complete form, the deleted scenes (especially those with McDowall) link events together quite neatly. What is a little disconcerting is the way the scenes have been remastered. Clearly, the soundtrack to this footage had been lost or damaged, so some bright spark at Disney decided to dub the scenes with new dialogue. Which would have been great except that half the cast weren't around to do it (some for better reasons than others) and the whole thing has a rather shoddy quality to it. Some of the lip-synching is pretty poor, and David Tomlinson's voice has been dubbed by a bloke who sounds absolutely nothing like David Tomlinson (there's actually a hint of German in it, I think). However, good to hear the full versions of all the songs (although 'Step in the right Direction' is still absent) and the moments of magic in this film still shine through. And I challenge you not to giggle when young Paul gazes so innocently at Angela Lansbury and coos ""but what's that got to do with my knob??""",positive
29359,"OK, the portrayal of the stereotyped 'indians' in this story is just plain WRONG. I do agree that Elvis looks rather good here, but yeah, his skin color does seem to change during the movie. I was thinking, OK,...he was never THAT tan in real life. It's some of the most obvious brown 'indian' makeup that I have ever seen. It's as bad as the 'indians' on 'F-Troop' and the old Hollywood westerns who were played by Jewish and Italian American actors and not real Native Americans!<br /><br />This movie is o.k., but typically lame story and mediocre songs, like in all of Elvis' later films. He just did them because Colonel Parker had him tied down to long term movie contacts to squeeze as much money out of Elvis as possible! I keep thinking 'thank God' that Elvis stopped making movies forever not long after this movie came out. It is cool to see character actors Joan Blondell, Katy Jurado, L.Q. Jones, Henry Jones and Burgess Meredith in this movie, though.<br /><br />Burgess Meredith's 'indian' makeup is absolutely AWFUL. It's The worst of the bunch for sure. What were the filmmakers thinking? Was Mr. Meredith doing this one just for the money or what? I do love certain Elvis movies, though. For example: 'Love Me Tender', 'Jailhouse Rock', 'Viva Las Vegas'. I can even stand to watch his movie with future TV co-stars Mary Tyler Moore and Ed Asner,'Change Of Habit' in which Elvis plays an inner-city doctor.<br /><br />Oh well, at least Elvis made a FEW good films, but the mediocre and bad ones overwhelm the decent and good ones.<br /><br />I'll always love ELVIS! Thank you, Thank you very much!",negative
26256,"Oh dear, Oh dear. I started watching this not knowing what to expect. I couldn't believe what I was seeing. There were times when I thought it was a comedy. I loved how the government's plan to capture the terrorist leader is to air drop in one man, who is unarmed, and expect him to capture him and escape with a rocket pack. If only it were really that easy. I've finally found a movie worse than ""Plan 9 From Outer Space"".",negative
